BrineInletPressure,BrineInletTemp,BrineOutletFlow,AmbientTemp,R134aPumpSpeed,TurboInletTemp,TurboExhaustPressure,TurboExhaustTemp,CondenserTemp,Gross,Cost,BrineOutletTemp
130.2,297.1,2759.0,5.7,1016.0,251.7,86.1,105.2,40.9,10.328,1.4669999999999987,102.3
129.3,297.1,2759.0,8.1,1026.0,249.7,85.9,100.8,41.5,10.412,1.5210000000000008,100.9
128.4,297.2,2753.0,17.4,1030.0,248.9,86.2,98.7,41.9,10.435,1.5549999999999997,100.0
128.0,297.2,2752.0,13.6,1031.0,248.2,86.2,97.1,42.0,10.449,1.5879999999999992,99.6
127.9,297.3,2751.0,13.5,1031.0,247.8,86.0,96.4,42.2,10.454,1.612,99.8
127.8,297.3,2750.0,15.9,1031.0,247.8,86.1,96.6,42.4,10.436,1.6150000000000002,100.0
127.7,297.3,2748.0,18.1,1031.0,247.8,86.0,96.8,43.1,10.434,1.6149999999999984,100.2
127.6,297.3,2747.0,16.7,1031.0,247.6,86.0,95.9,42.6,10.433,1.6050000000000004,99.8
127.5,297.3,2746.0,13.8,1031.0,247.1,86.2,95.6,42.3,10.433,1.6199999999999992,99.5
127.4,297.3,2744.0,12.8,1031.0,247.2,86.4,95.4,42.8,10.407,1.6010000000000009,99.2
127.4,297.3,2743.0,12.9,1032.0,247.1,86.3,95.8,42.7,10.42,1.6509999999999998,99.7
127.3,297.3,2744.0,12.7,1031.0,247.1,86.4,95.4,42.4,10.423,1.67,99.6
127.3,297.3,2743.0,12.7,1031.0,246.8,85.8,95.0,42.2,10.421,1.6239999999999988,99.1
127.3,297.3,2739.0,11.6,1031.0,246.7,86.3,94.7,42.0,10.402,1.6609999999999996,98.5
127.3,297.3,2741.0,10.3,1030.0,246.6,85.9,95.0,42.3,10.417,1.6020000000000003,98.5
127.3,297.4,2738.0,9.6,1032.0,247.3,86.1,95.6,42.3,10.407,1.5950000000000006,99.3
127.3,297.4,2741.0,12.1,1032.0,247.0,86.0,95.4,42.6,10.41,1.6150000000000002,99.2
127.2,297.3,2739.0,13.4,1032.0,247.0,86.0,95.4,42.9,10.412,1.5940000000000012,99.1
127.2,297.3,2738.0,13.8,1032.0,247.1,86.2,95.3,43.0,10.399,1.6359999999999992,99.3
127.2,297.4,2739.0,14.4,1031.0,247.3,86.0,95.9,43.1,10.4,1.6180000000000003,99.8
127.3,297.4,2741.0,15.3,1031.0,247.0,86.0,95.7,42.9,10.412,1.6210000000000004,99.9
127.3,297.4,2739.0,14.6,1031.0,247.1,85.8,95.3,42.1,10.419,1.6319999999999997,99.0
127.4,297.4,2738.0,15.2,1031.0,247.3,86.1,95.3,42.8,10.407,1.6240000000000006,99.3
127.4,297.4,2737.0,15.6,1031.0,246.9,86.0,94.7,42.6,10.397,1.6189999999999998,99.1
127.5,297.4,2736.0,16.0,1031.0,246.6,86.0,94.8,42.6,10.389,1.6329999999999991,99.5
